EndOfMonth|Jnl ID|Account Code|Jnl Description|Jnl Amount
31/01/2018|001-0000000000|4110|Labrador Sales|-52157.49
31/01/2018|001-0000000000|1210|Labrador Sales|52157.49
31/01/2018|001-0000000001|4110|Labrador Sales|-48007.14
31/01/2018|001-0000000001|1210|Labrador Sales|48007.14
31/01/2018|001-0000000002|4110|Labrador Sales|-49905.06
31/01/2018|001-0000000002|1210|Labrador Sales|49905.06
31/01/2018|001-0000000003|4110|Labrador Sales|-48474.51
31/01/2018|001-0000000003|1210|Labrador Sales|48474.51
31/01/2018|001-0000000004|4110|Labrador Sales|-51937.52
31/01/2018|001-0000000004|1210|Labrador Sales|51937.52
31/01/2018|001-0000000005|4110|Labrador Sales|-50819.31
31/01/2018|001-0000000005|1210|Labrador Sales|50819.31
31/01/2018|001-0000000006|4110|Labrador Sales|-49226.41
31/01/2018|001-0000000006|1210|Labrador Sales|49226.41
31/01/2018|001-0000000007|4110|Labrador Sales|-48052.19
31/01/2018|001-0000000007|1210|Labrador Sales|48052.19
31/01/2018|001-0000000008|4110|Labrador Sales|-48997.19
31/01/2018|001-0000000008|1210|Labrador Sales|48997.19
31/01/2018|001-0000000009|4110|Labrador Sales|-47655.55
31/01/2018|001-0000000009|1210|Labrador Sales|47655.55
31/01/2018|001-0000000010|4110|Labrador Sales|-50933.28
31/01/2018|001-0000000010|1210|Labrador Sales|50933.28
31/01/2018|001-0000000011|4110|Labrador Sales|-49141.47
31/01/2018|001-0000000011|1210|Labrador Sales|49141.47
31/01/2018|001-0000000012|4110|Labrador Sales|-50790.52
31/01/2018|001-0000000012|1210|Labrador Sales|50790.52
31/01/2018|001-0000000013|4110|Labrador Sales|-50619.13
31/01/2018|001-0000000013|1210|Labrador Sales|50619.13
31/01/2018|001-0000000014|4110|Labrador Sales|-51274.59
31/01/2018|001-0000000014|1210|Labrador Sales|51274.59
31/01/2018|001-0000000015|4110|Labrador Sales|-52014.63
31/01/2018|001-0000000015|1210|Labrador Sales|52014.63
31/01/2018|001-0000000016|4110|Labrador Sales|-49215.74
31/01/2018|001-0000000016|1210|Labrador Sales|49215.74
31/01/2018|001-0000000017|4110|Labrador Sales|-52374.58
31/01/2018|001-0000000017|1210|Labrador Sales|52374.58
31/01/2018|001-0000000018|4110|Labrador Sales|-48680.11
31/01/2018|001-0000000018|1210|Labrador Sales|48680.11
31/01/2018|001-0000000019|4110|Labrador Sales|-51447.22
