SheetName|ListObjectName|ListObjectHeader|NumberFormat|FontColour
ModelMeasures|tbl_ModelMeasures|Name|General|0
ModelMeasures|tbl_ModelMeasures|Visible|General|0
ModelMeasures|tbl_ModelMeasures|Unique Name|General|12673797
ModelMeasures|tbl_ModelMeasures|DAX Expression|@|0
ModelMeasures|tbl_ModelMeasures|Name and Expression|General|0
ModelColumns|tbl_ModelColumns|Name|General|0
ModelColumns|tbl_ModelColumns|Table Name|General|0
ModelColumns|tbl_ModelColumns|Unique Name|General|12673797
ModelColumns|tbl_ModelColumns|Visible|General|0
ModelColumns|tbl_ModelColumns|Is calculated column|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Name|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Table Name|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Expression|@|12673797
ModelRelationships|tbl_ModelRelationships|Primary Key Table|General|0
ModelRelationships|tbl_ModelRelationships|Primary Key Column|General|0
ModelRelationships|tbl_ModelRelationships|Foreign Key Table|General|12673797
ModelRelationships|tbl_ModelRelationships|Foreign Key Column|General|0
ModelRelationships|tbl_ModelRelationships|Active|General|0
TableGenerator|tbl_TableGenerator|NullHeader|General|0
