SheetName|ListObjectName|ListObjectHeader|IsFormula|Formula
ReportSheetProperties|tbl_ReportSheetProperties|Sheet Name|False|
ReportSheetProperties|tbl_ReportSheetProperties|Sheet Category|False|
PvtTableProperties|tbl_PvtTableProperties|Sheet Name|False|
PvtTableProperties|tbl_PvtTableProperties|Pivot Table Name|False|
PvtTableProperties|tbl_PvtTableProperties|Auto Fit|False|
PvtTableProperties|tbl_PvtTableProperties|Total Rows|False|
PvtTableProperties|tbl_PvtTableProperties|Total Columns|False|
PvtTableProperties|tbl_PvtTableProperties|Display Expand Buttons|False|
PvtTableProperties|tbl_PvtTableProperties|Display Field Headers|False|
PvtFieldProperties|tbl_PvtTableProperties|Sheet Name|False|
PvtFieldProperties|tbl_PvtTableProperties|Pivot Table Name|False|
PvtFieldProperties|tbl_PvtTableProperties|Data Model Field Type|False|
PvtFieldProperties|tbl_PvtTableProperties|Cube Field Name|False|
PvtFieldProperties|tbl_PvtTableProperties|Orientation|False|
PvtFieldProperties|tbl_PvtTableProperties|Format|False|
PvtFieldProperties|tbl_PvtTableProperties|Custom Format|False|
PvtFieldProperties|tbl_PvtTableProperties|Subtotal|False|
PvtFieldProperties|tbl_PvtTableProperties|Subtotal at top|False|
PvtFieldProperties|tbl_PvtTableProperties|Blank line between items|False|
PvtFieldProperties|tbl_PvtTableProperties|Filter Type|False|
PvtFieldProperties|tbl_PvtTableProperties|Filter Values|False|
PvtFieldProperties|tbl_PvtTableProperties|Collapse field values|False|
