SheetName|ListObjectName|ListObjectHeader|NumberFormat|FontColour
ModelMeasures|tbl_ModelMeasures|Name|General|0
ModelMeasures|tbl_ModelMeasures|Visible|General|12611584
ModelMeasures|tbl_ModelMeasures|Unique Name|General|0
ModelMeasures|tbl_ModelMeasures|DAX Expression|@|0
ModelMeasures|tbl_ModelMeasures|Name and Expression|General|0
ModelColumns|tbl_ModelColumns|Name|General|0
ModelColumns|tbl_ModelColumns|Table Name|General|12611584
ModelColumns|tbl_ModelColumns|Unique Name|General|0
ModelColumns|tbl_ModelColumns|Visible|General|0
ModelColumns|tbl_ModelColumns|Is calculated column|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Name|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Table Name|General|12611584
ModelCalcColumns|tbl_ModelCalcColumns|Expression|@|0
ModelRelationships|tbl_ModelRelationships|Primary Key Table|General|0
ModelRelationships|tbl_ModelRelationships|Primary Key Column|General|12611584
ModelRelationships|tbl_ModelRelationships|Foreign Key Table|General|0
ModelRelationships|tbl_ModelRelationships|Foreign Key Column|General|0
ModelRelationships|tbl_ModelRelationships|Active|General|0
TableGenerator|tbl_TableGenerator|NullHeader|General|0
