SheetName|ListObjectName|ListObjectHeader|Value
ModelMeasures|tbl_ModelMeasures|Name|TestMeasure
ModelMeasures|tbl_ModelMeasures|Visible|True
ModelMeasures|tbl_ModelMeasures|Unique Name|[Measures].[TestMeasure]
ModelMeasures|tbl_ModelMeasures|DAX Expression|:=SUM(Table5[ColB])
ModelMeasures|tbl_ModelMeasures|Name and Expression|TestMeasure:=SUM(Table5[ColB])
ModelCalcColumns|tbl_ModelCalcColumns|Name|NULL
ModelCalcColumns|tbl_ModelCalcColumns|Table Name|NULL
ModelCalcColumns|tbl_ModelCalcColumns|Expression|NULL
ModelColumns|tbl_ModelColumns|Name|ColA
ModelColumns|tbl_ModelColumns|Name|ColB
ModelColumns|tbl_ModelColumns|Name|col A
ModelColumns|tbl_ModelColumns|Name|Col C
ModelColumns|tbl_ModelColumns|Table Name|Table5
ModelColumns|tbl_ModelColumns|Table Name|Table5
ModelColumns|tbl_ModelColumns|Table Name|Table6
ModelColumns|tbl_ModelColumns|Table Name|Table6
ModelColumns|tbl_ModelColumns|Unique Name|[Table5].[ColA]
ModelColumns|tbl_ModelColumns|Unique Name|[Table5].[ColB]
ModelColumns|tbl_ModelColumns|Unique Name|[Table6].[col A]
ModelColumns|tbl_ModelColumns|Unique Name|[Table6].[Col C]
ModelColumns|tbl_ModelColumns|Visible|True
ModelColumns|tbl_ModelColumns|Visible|True
ModelColumns|tbl_ModelColumns|Visible|True
ModelColumns|tbl_ModelColumns|Visible|True
ModelRelationships|tbl_ModelRelationships|Primary Key Table|Table6
ModelRelationships|tbl_ModelRelationships|Primary Key Column|col A
ModelRelationships|tbl_ModelRelationships|Foreign Key Table|Table5
ModelRelationships|tbl_ModelRelationships|Foreign Key Column|ColA
ModelRelationships|tbl_ModelRelationships|Active|True
