SheetName|ListObjectName|ListObjectHeader|NumberFormat|FontColour
ModelMeasures|tbl_ModelMeasures|Name|General|0
ModelMeasures|tbl_ModelMeasures|Visible|General|0
ModelMeasures|tbl_ModelMeasures|Unique Name|General|0
ModelMeasures|tbl_ModelMeasures|DAX Expression|General|0
ModelMeasures|tbl_ModelMeasures|Name and Expression|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Name|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Table Name|General|0
ModelCalcColumns|tbl_ModelCalcColumns|Expression|General|0
ModelColumns|tbl_ModelColumns|Name|General|0
ModelColumns|tbl_ModelColumns|Table Name|General|0
ModelColumns|tbl_ModelColumns|Unique Name|General|0
ModelColumns|tbl_ModelColumns|Visible|General|0
ModelColumns|tbl_ModelColumns|Is calculated column|General|0
ModelRelationships|tbl_ModelRelationships|Primary Key Table|General|0
ModelRelationships|tbl_ModelRelationships|Primary Key Column|General|0
ModelRelationships|tbl_ModelRelationships|Foreign Key Table|General|0
ModelRelationships|tbl_ModelRelationships|Foreign Key Column|General|0
ModelRelationships|tbl_ModelRelationships|Active|General|0
